"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"WARREN",2357,3105,0.759098228663446,1314,2333,0.563223317616802,991,0.42477496785255
"WASHINGTON",8531,11002,0.775404471914197,4200,8447,0.497217947200189,4149,0.491180300698473
"WAYNE",10489,13496,0.777193242442205,2041,10386,0.196514538802234,8153,0.784999037165415
"WEBSTER",1124,1433,0.784368457780879,473,1116,0.423835125448029,630,0.564516129032258
"WHEELER",2135,2705,0.789279112754159,646,2102,0.30732635585157,1421,0.676022835394862
"WHITE",11964,14669,0.81559751857659,1674,11783,0.142069082576593,9761,0.828396842909276
"WHITFIELD",30877,39588,0.779958573305042,7937,30398,0.261102704125271,21537,0.708500559247319
"WILCOX",3003,3934,0.763345195729537,852,2973,0.286579212916246,2096,0.705011772620249
"WILKES",4520,5826,0.775832475111569,1848,4477,0.412776412776413,2572,0.57449184721912
"WILKINSON",4317,5481,0.787629994526546,1894,4278,0.442730247779336,2333,0.545348293595138
"WORTH",8349,10724,0.778534129056322,2020,8280,0.243961352657005,6152,0.742995169082126
"STATEWIDE",4165405,5443046,0.765270953065618,1877963,4092373,0.458893409764946,2089104,0.510487191661171
